,Armond Review,Tomatometer Review,Tomatometer Score,Quote,Publication Name,Movie,Date
46,rotten,certified-fresh,90.0,"When Cate Blanchett, the phoniest actress since Meryl Steep, teams up with Field in his latest film, Tár, the result is a histrionic wingding.",National Review,Tár,"Nov 10, 2022"
47,fresh,rotten,46.0,Raymond & Ray restores the adventure of self-revelation that movies have forsaken for politicized virtue-signaling. ,National Review,Raymond & Ray,"Nov 04, 2022"
48,fresh,rotten,33.0,Emmanuelle Bercot dramatizes the Kubler-Ross five stages of grief in the emotionally full drama Peaceful.,National Review,Peaceful,"Nov 02, 2022"
49,rotten,certified-fresh,75.0,"This is poisoned nostalgia, Gray’s semi-autobiographical apology tour, part of liberal Hollywood’s progressive project that would have Americans remake themselves by condemning their past.",National Review,Armageddon Time,"Oct 28, 2022"
50,rotten,fresh,72.0,"Östlund bungles the political, spiritual, and moral lessons of such classics about chaos as Luis Buñuel’s Exterminating Angel, Antonioni’s L’Avventura, and Godard’s Weekend.",National Review,Triangle of Sadness,"Oct 26, 2022"
51,rotten,rotten,38.0,We now know so much about the behind-the-scenes content-making and celebrity that Black Adam’s attempt to exploit the political moment and audience taste is insultingly obvious.,National Review,Black Adam,"Oct 21, 2022"
52,fresh,fresh,67.0,"Make no mistake, McAleer is polemical, but My Son Hunter doesn’t condemn Hunter Biden so much as understand him and the nature of his offense -- thus demonstrating the ultimate form of journalistic scruples.",National Review,My Son Hunter,"Oct 19, 2022"
53,fresh,fresh,100.0,"Personality Crisis is fascinating for how Johansen, as a songwriter, puts life and showbiz struggle in his own bridge-and-tunnel vernacular: “It all comes down to melody.” ",National Review,Personality Crisis: One Night Only,"Oct 14, 2022"
54,rotten,rotten,32.0,"Despite Russell’s being our cleverest satirist, Amsterdam succumbs to the worst ideas now afflicting our nation. Wonderfully humane as it is, Amsterdam can’t surmount the prevailing sense of failure.",National Review,Amsterdam,"Oct 10, 2022"
55,rotten,rotten,42.0,"[Andrew Dominik] overinflates his subject as if he never met an actual person. Ignoring how Monroe calculated her career and contrived the unique acting style that mesmerized the world, he resorts to the visual equivalent of psychobabble.",National Review,Blonde,"Oct 06, 2022"
56,rotten,certified-fresh,88.0,"Bros pretends to satirize Bobby’s fear of commitment, but the contempt Eichner showed to his on-the-street video victims has not been transformed into charm. ",National Review,Bros,"Sep 30, 2022"
57,rotten,rotten,38.0,Don’t Worry Darling is a shoppers’ paradise for filmgoers indifferent to current crises and clueless about bygone social standards.,National Review,Don't Worry Darling,"Sep 28, 2022"
58,rotten,certified-fresh,94.0,"Maybe Prince-Bythewood has tapped into something that the two lousy Wonder Woman movies missed, but whatever it is, it isn’t excitement. Her battle scenes are haphazard, with poor continuity. ",National Review,The Woman King,"Sep 23, 2022"
59,rotten,fresh,70.0,Too bad Miller traded his gift for modern fantasy for pseudo-historical fantasy. ,National Review,Three Thousand Years of Longing,"Sep 07, 2022"
60,fresh,certified-fresh,76.0,Ozon pays tribute to how Fassbinder fearlessly risked film-culture esteem. Watching Peter von Kant is an entirely new experience.,National Review,Peter von Kant,"Sep 02, 2022"
61,fresh,certified-fresh,83.0,"The movie is literally ugly, yet not entirely dismissible. It is saved by Kline’s cruel, funny alertness to something that’s gone wrong in American society among those dissatisfied by pursuit of the dream.",National Review,Funny Pages,"Aug 31, 2022"
62,fresh,fresh,87.0,The examination of the moral cost of Diego’s personal and political choices makes La guerre est finie a truly great movie.,National Review,La Guerre Est Finie,"Aug 26, 2022"
63,fresh,rotten,49.0,"Viewing pornography as “a poke in the eye with a sharp stick,” Dunham takes issue with disingenuous junk like Euphoria that promotes degradation. ",National Review,Sharp Stick,"Aug 18, 2022"
64,fresh,certified-fresh,89.0,It’s a vintage Disney fairy tale made real. That’s when you know that Vignal has interpreted the dream roots of contemporary anxiousness -- lost innocence and wonder.,National Review,"My Donkey, My Lover & I","Jul 27, 2022"
65,rotten,certified-fresh,83.0,Nope’s junk pile of references combines movie and TV lore to no particular effect.,National Review,Nope,"Jul 22, 2022"
66,fresh,fresh,100.0,"Religion stays with Bellocchio, as does imagination and ingenuity, which makes Marx Can Wait an extraordinary document of the moral evolution of an artist and his family.",National Review,Marx Can Wait,"Jul 15, 2022"
67,rotten,fresh,80.0,Diop needs more than shallow social impressions to enlist us in her cynicism.,National Review,We,"Jul 13, 2022"
68,fresh,fresh,68.0,"Never mundane, [Michael Bay] expands on the lamest of all action genres, the bank heist, to find the form’s sensual, kinetic potential. Everyday dazzle.",National Review,Ambulance,"Jul 01, 2022"
69,rotten,certified-fresh,77.0,"This shameless cultural jumble might make some kind of crazy sense for anyone who still thinks Presley the figurehead of pop vulgarity. That position has many successors, and Luhrmann is one of them.",National Review,Elvis,"Jun 24, 2022"
70,fresh,fresh,100.0,"The result, which uses assorted data as proof of Clift’s legacy, is more than the usual series of starstruck talking-head reminiscences.",National Review,Making Montgomery Clift,"Jun 22, 2022"
71,fresh,fresh,100.0,"Costa-Gavras and screenwriter Jorge Semprún’s approach doesn’t allow Kafkaesque sentiment, so the film stays tough and brilliant.",National Review,The Confession,"Jun 17, 2022"
72,rotten,certified-fresh,74.0,There’s nothing new in Lightyear. It is the latest Hollywood mind control.,National Review,Lightyear,"Jun 17, 2022"
73,fresh,certified-fresh,93.0,"Giannoli uses art against dishonest journalism, the main weapon in today’s politicized class war. No documentary could be more bracing. That makes Lost Illusions the best newspaper movie since Citizen Kane.",National Review,Lost Illusions,"Jun 10, 2022"
74,rotten,,,Filmmakers who buy into the Pakula legend don’t dread today’s obvious political chicanery but more likely distract from it with paranoid political correctness.,National Review,Alan Pakula: Going for Truth,"Jun 07, 2022"
75,fresh,certified-fresh,93.0,"Seeing all that through Davies’s signature tableaux makes Benediction the fullest, richest movie experience in years.",National Review,Benediction,"Jun 04, 2022"
76,fresh,certified-fresh,96.0,"It illustrates Cruise's showmanly sense that maybe Americans desperately want to believe in themselves again. While the latest James Bond movies fail at heroism, Cruise's action films present a credible sense of valor",National Review,Top Gun: Maverick,"May 27, 2022"
77,fresh,fresh,81.0,"If asked to name the greatest gay film ever made, I’d say, with no hesitation, The Long Day Closes written and directed by British auteur Terence Davies.",Out Magazine,The Long Day Closes,"May 25, 2022"
78,rotten,fresh,69.0,"Despite its hallucinatory finale, Men is not really an examination of spousal guilt or women’s fearful psychology. Plus, it’s too absurd to substantiate the media’s fascination with “toxic masculinity.”",National Review,Men,"May 20, 2022"
79,fresh,fresh,100.0,"The self-motivated perseverance -- and artistry and creativity -- preserved in these images is stunning.
",National Review,How They Got Over,"May 18, 2022"
80,fresh,fresh,100.0,This doc looks into Hollywood’s multicultural liberalism before the industry became obsessed with virtue-signaling and limited its enterprise.,National Review,Fiddler's Journey to the Big Screen,"May 14, 2022"
81,rotten,fresh,74.0,Doctor Strange in the Multiverse of Madness is too jumbled and overanxious for coherent amusement. Hard to believe that Marvel is still churning out this garbage so long after Man of Steel rooted its characters to humane instinct throughout time. ,National Review,Doctor Strange in the Multiverse of Madness,"May 06, 2022"
82,fresh,certified-fresh,99.0,"As with Nitram and Father Stu, Hamaguchi’s cast joins this year’s extraordinary exhibition of vivid, revealing characterizations. This is real culture, not fake culture. Hamaguchi discovers the human touch.",National Review,Wheel of Fortune and Fantasy,"Apr 29, 2022"
83,fresh,fresh,63.0,It’s a revelatory example of how post-Sixties Hollywood liberalism evolved.,National Review,The Liberation of L.B. Jones,"Apr 27, 2022"
84,fresh,certified-fresh,89.0,"The Northman isn’t exactly a triumph, but with its many knockout moments, it represents a big step forward for the youngish director Robert Eggers, who for the first time has a big budget to work with. ",National Review,The Northman,"Apr 26, 2022"
85,rotten,certified-fresh,87.0,"The Unbearable Weight of Massive Talent is a collision of generic formula, celebrity gossip, and the amnesia that results from popular culture’s decline. ",National Review,The Unbearable Weight of Massive Talent,"Apr 23, 2022"
86,fresh,rotten,42.0,"Instead of bucking for prizes, Father Stu earns serious attention for being the most emotionally satisfying American movie in years. Its stand-out qualities expose how secular and unsatisfying contemporary film culture has recently become.",National Review,Father Stu,"Apr 21, 2022"
87,fresh,certified-fresh,90.0,Weerasethakul’s majestic spectacle moves us an artistic distance away from junk culture.,National Review,Memoria,"Apr 16, 2022"
88,fresh,certified-fresh,93.0,"The film’s look at human failure and fate is so plain and honest, it gives our shock and sympathy Shakespearean dimension. Kurzel redirects social disaster to command our focus on individual crisis.",National Review,Nitram,"Apr 09, 2022"
89,rotten,fresh,68.0,"Chastain and Garfield are canny actors, but these characterizations veer between pathos and ridicule. Each might as well be wearing outsize masks to make Brechtian farce of Christianity as greedy, materialistic, and sexually perverse.",National Review,The Eyes of Tammy Faye,"Apr 04, 2022"
90,rotten,certified-fresh,92.0,It fits right in with the new anti-art orthodoxy. It’s as if Coen -- and how many others? -- were afraid to truly touch our imagination.,National Review,The Tragedy of Macbeth,"Mar 26, 2022"
91,rotten,certified-fresh,98.0,"It takes us further away from the necessary realism of documentaries that present fact, what Dziga Vertov called “life caught unaware.” Flee epitomizes how our information stream suffers from the combination of fantasy and propaganda.",National Review,Flee,"Mar 19, 2022"
92,fresh,certified-fresh,97.0,"Once again, a European filmmaker shows Americans how it should be done.",National Review,Great Freedom,"Mar 11, 2022"
93,rotten,certified-fresh,90.0,Irish-Ethiopian actress Negga crafts the year’s most original characterization.... Negga’s genuine emotion transcends Passing and its almost total inauthenticity. ,National Review,Passing,"Mar 05, 2022"
94,rotten,certified-fresh,85.0,"Coming exactly 100 years after F. W. Murnau’s still-disturbing Nosferatu, The Batman doesn’t earn being called artistic decadence. Its depiction of social horror isn’t fully imagined; it never gets to the core of spiritual repulsion that Murnau touched",National Review,The Batman,"Mar 05, 2022"
95,rotten,certified-fresh,85.0,"Wright aims to impress, but his flamboyance and foundering romanticism miss the mark.",National Review,Cyrano,"Feb 26, 2022"
96,fresh,rotten,44.0,"Here, Jeunet’s bright colors and prankish manipulation of space makes a suburban home and its lookalike environs an appropriate carnival atmosphere. Big Bug turns a spiritual and political pandemic into a three-dimensional funhouse mirror.",National Review,BigBug,"Feb 24, 2022"
97,rotten,fresh,68.0,"The West Wing TV hack Aaron Sorkin, who wrote and directed the film, scuttles Kidman’s insight into Ball’s intelligence and competitiveness through his usual political posturing.",National Review,Being the Ricardos,"Feb 22, 2022"
98,fresh,rotten,50.0,"It’s a feel-good movie about American camaraderie going up against injustice and abusive, overreacting tyranny.",National Review,Convoy,"Feb 17, 2022"
99,rotten,certified-fresh,90.0,"King Richard creates a cliché, not a character.",National Review,King Richard,"Feb 12, 2022"
100,rotten,certified-fresh,96.0,"Smug Julie is no Everygirl like Diane Keaton’s Annie Hall; she’s a standard-bearer, running an emotional gamut without charm.",National Review,The Worst Person in the World,"Feb 12, 2022"
101,rotten,rotten,41.0,"It all feels exhausted because it is false. Instead of another routine foray into casual adultery as a metric of modern morality, this should have been a scabrous satire on cinema’s decline and hypocrisy’s ascendance.",National Review,Rifkin's Festival,"Feb 04, 2022"
102,fresh,certified-fresh,98.0,The doc’s perspective honors Poly Styrene by placing her within a cultural lineage.,National Review,Poly Styrene: I Am a Cliché,"Feb 04, 2022"
103,fresh,certified-fresh,97.0,Filmmaker Céline Sciamma unexpectedly recaptures Spielberg's once-amazing relation to childhood wonder and pure emotion.,National Review,Petite Maman,"Jan 26, 2022"
104,rotten,certified-fresh,88.0,The Harder They Fall confirms there's no honor in performing garbage with relish.,National Review,The Harder They Fall,"Jan 22, 2022"
105,rotten,certified-fresh,96.0,Parallel Mothers is Almodóvar's most pompous and unconvincingly political film.,National Review,Parallel Mothers,"Jan 20, 2022"
106,fresh,certified-fresh,91.0,"This is easily the American eccentric's best film because his usual indie-movie flaws - obscure themes, cynical perspective, and technical showing-off - are mitigated by a rare, relatable narrative.",National Review,Licorice Pizza,"Jan 14, 2022"
107,rotten,rotten,55.0,The film's negativity indicts McKay and insults his audience.,National Review,Don't Look Up,"Jan 13, 2022"
108,fresh,fresh,66.0,No other 2021 movie feels so eerily contemporary. France is a work of head-spinning mastery.,National Review,France,"Jan 06, 2022"
109,rotten,certified-fresh,94.0,Campion's incongruous plot twists can pass for profundity in an era ignorant of both American history and film history.,National Review,The Power of the Dog,"Jan 04, 2022"
110,fresh,certified-fresh,90.0,"Red Rocket would seem dehumanizing and despicable if not for Rex's three-dimensional portrait of Mikey's outlawry; flaunting head-banger's stupidity, misused charm, and misguided talents to full effect.",National Review,Red Rocket,"Dec 29, 2021"
111,rotten,certified-fresh,97.0,I'm reluctant to hand Hamaguchi Chekhovian laurels because his measured style feels like Chekhov when done poorly. Drive My Car is the opposite of lively.,National Review,Drive My Car,"Dec 27, 2021"
112,rotten,certified-fresh,94.0,Gyllenhaal is one of those close-minded Hollywood liberals who confuse self-pity with political enmity.,National Review,The Lost Daughter,"Dec 18, 2021"
113,rotten,certified-fresh,92.0,"Spielberg shrinks the spiritual aspiration that once made his popular art transcendent. First time out, West Side Story functioned as tragedy and cultural triumph. Second time, it's woke farce.",National Review,West Side Story,"Dec 11, 2021"
114,fresh,certified-fresh,90.0,"Jude's eye-popping essay captures the same insolence indicated by the unrivaled title of his previous film, I Do Not Care If We Go Down in History as Barbarians.",National Review,Bad Luck Banging or Loony Porn,"Dec 08, 2021"
115,rotten,certified-fresh,88.0,"Tick, tick...BOOM! uses the Jonathan Larson careerist cult to promote Broadway narcissism. It's the most obnoxious showbiz biopic since De-Lovely disgraced Cole Porter.",National Review,"Tick, Tick... Boom!","Dec 04, 2021"
116,fresh,fresh,60.0,Asphalt Goddess dares to sensationalize rebellion but then reconciles it with our common humanity.,National Review,La Diosa del Asfalto,"Dec 02, 2021"
117,fresh,certified-fresh,93.0,"It's a challenge to the dramatic conventions of TV crime shows and movie decadence. A Cop Movie responds to the social moment, examining contemporary issues without resorting to ""reform"" and ""defund"" clichés.",National Review,A Cop Movie,"Nov 29, 2021"
118,rotten,fresh,61.0,"Ultrahack Ridley Scott redefines banality in House of Gucci, a cornball reality drama.",National Review,House of Gucci,"Nov 29, 2021"
119,rotten,certified-fresh,86.0,"Branagh's shallow regard of Irish history cheapens its art heritage, first by misappropriating Van Morrison, creator of the transcendent Astral Weeks among other Irish pop landmarks.",National Review,Belfast,"Nov 20, 2021"
120,fresh,rotten,18.0,"No one else in Hollywood takes middle-aged women seriously, so Eleanor Coppola's calm, patience, and insight provide an unusual movie experience.",National Review,Love Is Love Is Love,"Nov 17, 2021"
121,rotten,fresh,83.0,"Trying to do the right Hollywood thing on Doctorow's story, Forman fell into the same traps that hobble contemporary films.",National Review,Ragtime,"Nov 12, 2021"
122,rotten,certified-fresh,83.0,"Spencer itself is only a half-bad movie, promoting idolatry for a public that has lost respect for tradition and that has no sense of duty or sense of occasion.",National Review,Spencer,"Nov 10, 2021"
123,rotten,certified-fresh,75.0,"The French Dispatch is a Millennial creation, set at the title publication's headquarters in the preciously named town Ennui sur blasé. That means it celebrates journalism as a class marker, American arrogance served à la Française.",National Review,The French Dispatch,"Nov 05, 2021"
124,rotten,certified-fresh,75.0,Everything about Wright's checklist filmmaking is unsatisfying. Trying to make both a pop-culture jamboree and an exposé of female exploitation means Last Night in Soho is diversity gone mad.,National Review,Last Night in Soho,"Oct 29, 2021"
125,rotten,certified-fresh,83.0,"If you expect a sensual, kinetic, visually exciting movie version of Frank Herbert's renowned 1965 epic sci-fi novel, be prepared for a presentation of global malaise instead.",National Review,Dune,"Oct 22, 2021"
126,rotten,certified-fresh,98.0,"Haynes gets so lost in his preening art gestures that there's no practical information about contracts or record-company business, just the useless glorification of pop-art myths.",National Review,The Velvet Underground,"Oct 15, 2021"
127,rotten,certified-fresh,83.0,"To a generation that knows nothing about Ingmar Bergman, Hansen-Love's name-dropping caprice will mean even less.",National Review,Bergman Island,"Oct 13, 2021"
128,rotten,certified-fresh,83.0,"No Time to Die proves that the decades-old James Bond franchise has reached a dead end. The turn toward sadism that began with Daniel Craig's angry, sinister interpretation of 007 has reached an unconscionable level of heartlessness.",National Review,No Time to Die,"Oct 08, 2021"
129,rotten,fresh,71.0,"For some of us, The Sopranos epitomizes everything that went wrong with American popular culture this millennium. Those of us who realize that mainstream media operate by different rules will be mildly appalled by The Many Saints of Newark",National Review,The Many Saints of Newark,"Oct 06, 2021"
130,fresh,,,"Don't Play Us Cheap -- with its immense charm, rousing musical turns, and undeniable folk wisdom -- overturns the presumptions of every cultural institution now pledged to make statements on ""diversity"" and ""equity,"" instead of making art.",National Review,Don't Play Us Cheap,"Oct 01, 2021"
131,fresh,fresh,69.0,"While the emotional depths of this exploitation film are hidden by low-budget shortcuts and discount psychologizing, the generic commonplaces are made evocative by young Coppola's already evident flair.",National Review,Dementia 13,"Sep 29, 2021"
132,rotten,rotten,29.0,Dear Evan Hansen glories in Millennial fragmentation. Pasik and Paul celebrate how divided we are -- our individuality and insularity are sentimentalized.,National Review,Dear Evan Hansen,"Sep 24, 2021"
133,fresh,fresh,96.0,"LaBruce's post-Stonewall, post-Warhol sensibility never shies away from transgression, which is why he has made the bravest, most emotional films about gay experience by any artist in the Western Hemisphere.",National Review,Saint-Narcisse,"Sep 22, 2021"
134,fresh,rotten,57.0,"Cry Macho improves on the too-obvious intergenerational drama of Gran Torino. This title is deeper. There's desperation behind it, sensing each character's natural, reflexive cry for help.",National Review,Cry Macho,"Sep 18, 2021"
135,rotten,rotten,42.0,"Amazon's new Cinderella is radical. Bad as it is, it dares to eliminate even the fantasy basis of traditional ethics, goodness, and scruples.",National Review,Cinderella,"Sep 15, 2021"
136,rotten,fresh,86.0,"As so many media outlets have done, NG dispenses with the old journalism rule of balance. It refuses to be thoroughly informative.",National Review,Fauci,"Sep 14, 2021"
137,rotten,certified-fresh,92.0,Shang-Chi pilfers from already familiar and much more original and artistic Chinese martial-arts genre movies -- reducing them to the level of Marvel junk.,National Review,Shang-Chi and the Legend of the Ten Rings,"Sep 08, 2021"
138,fresh,fresh,71.0,Daldry achieves latitude by balancing invective with humor in confrontations that are always honest and leveling. The vitriol recalls Albert Finney and Rachel Roberts as domestic warriors in E. A. Whitehead's Alpha Beta.,National Review,Together,"Sep 03, 2021"
139,rotten,certified-fresh,84.0,They've taken the fun out of Candyman.,National Review,Candyman,"Sep 02, 2021"
140,fresh,rotten,35.0,"Through Claire, Fontaine makes us wonder about standards of individual and social propriety. By fable's end, Fontaine surpasses the Brothers Grimm to acknowledge French cinema's romantic legacy.",National Review,White as Snow,"Aug 27, 2021"
141,fresh,fresh,100.0,"Deutchman's accounts looks back at the figure whose singular vision created a debt of obligation and never-forgotten inspiration. In the arts, as in politics, we're still searching for leadership.",National Review,Searching for Mr. Rugoff,"Aug 25, 2021"
142,rotten,rotten,26.0,"This is the simplest, clearest, cheapest statement on social revolution that Millennial Hollywood has brazened -- so far.",National Review,Naked Singularity,"Aug 18, 2021"
143,fresh,fresh,71.0,Carax has got what it takes. His sense of beauty and romance rivals those high-art practitioners Hans-Jürgen Syberberg (Parsifal) and Lars Von Trier (Dancer in the Dark).,National Review,Annette,"Aug 14, 2021"
144,rotten,fresh,68.0,Hudson's acting lacks the emotional focus and conviction that made Franklin a phenomenon even among her gospel and R & B peers.,National Review,Respect,"Aug 11, 2021"
