,Unnamed: 0,Armond Review,Tomatometer Review,Tomatometer Score,Quote,Publication Name,Movie,Date,Genres
24,24,rotten,rotten,35.0,65 might be the first film ever based on a movie poster. Its unoriginality and witlessness follow the blatancy of most contemporary content.,National Review,65,2023-03-17,"['Adventure', 'Science Fiction', 'Drama', 'Thriller', 'Action']"
25,25,rotten,fresh,64.0,"Aronofsky uses The Whale for easy, unsightly, virtue-signaling.",National Review,The Whale,2023-03-15,['Drama']
26,26,rotten,rotten,46.0,Rock’s slap-back at Smith revives the insecurity and evident immaturity that characterized their altercation. (Both men misbehaved.) Selective Outrage provides no helpful insight into the temperamental differences that erupted at last year’s Oscars.,National Review,Chris Rock: Selective Outrage,2023-03-08,['Comedy']
27,27,rotten,certified-fresh,88.0,"Imprisoned by industry formula, Jordan cannot rise above its patronizing clichés.",National Review,Creed III,2023-03-03,"['Drama', 'Action']"
28,28,rotten,certified-fresh,80.0,Rivette’s dry approach to improvisation and fantasy negates the kind of joy that his collaborators Labourier and Berto mean to have. ,CityArts,Celine and Julie Go Boating,2023-03-01,"['Drama', 'Comedy', 'Fantasy']"
29,29,fresh,rotten,26.0,"This isn’t disrespect so much as a leveling. Marlowe is Jordan’s look at cultural cynicism, linking Joyce to Chandler and to the many Dr. Faustuses of Hollywood itself.",National Review,Marlowe,2023-02-23,"['Mystery', 'Crime', 'Thriller']"
30,30,rotten,rotten,48.0,"Last Dance goes narrowly and cynically into post-indie, corporate Hollywood clichés. Soderbergh’s desperation shows a filmmaker who recycles a formula and, like a tired stripper lacking conviction, repeats the old motions. ",National Review,Magic Mike's Last Dance,2023-02-23,"['Drama', 'Comedy', 'Romance']"
31,31,fresh,certified-fresh,98.0,"There’s no grandstanding in Calamy’s Julie or in writer-director Éric Gravel’s presentation of her responsible resourcefulness... Julie’s authenticity avoids social correctness; she achieves plain, recognizable motherhood.",National Review,Full Time,2023-02-10,"['Drama', 'Thriller']"
32,32,rotten,certified-fresh,94.0,Saint Omer becomes a high-brow tearjerker. No man born of woman can resist this snake oil. ,National Review,Saint Omer,2023-01-20,"['Crime', 'Drama']"
33,33,fresh,certified-fresh,82.0,"They’re second-generation lost romantics, ruined liberals. Guadagnino’s allegory details the self-destruction at the heart of teens’ untutored idealism.",National Review,Bones and All,2023-01-13,"['Drama', 'Horror', 'Romance']"
34,34,rotten,rotten,57.0,Wunderkind Chazelle seriously needs artistic supervision. Babylon is the first Millennial film so misguided that it seems hell-bent on destroying itself. ,National Review,Babylon,2023-01-13,"['Drama', 'Comedy']"
35,35,rotten,certified-fresh,76.0,"The Way of Water is predicated on an escapist mindset that prevents moviegoers from thinking (or expressing dissatisfaction). When a film like this is sold for its 3D, 48-frames-per-second High Dynamic Range teachnology, protect your credit card.",National Review,Avatar: The Way of Water,2023-01-05,"['Adventure', 'Action', 'Science Fiction']"
36,36,fresh,rotten,53.0,Dead for a Dollar distills Western mythology to its fabled essence. The morality of Borlund’s life-or-death decisions is movie history that ironically echoes modern America.,National Review,Dead for a Dollar,2022-12-30,"['Thriller', 'Western']"
37,37,rotten,certified-fresh,94.0,This is one of the year’s most dismaying and repellent movies.,National Review,Decision to Leave,2022-12-29,"['Crime', 'Mystery', 'Drama', 'Thriller', 'Romance']"
38,38,rotten,certified-fresh,96.0,The director doesn’t do much to relieve misery or our current existential crisis. That’s why The Banshees of Inisherin feels like both an X-ray of contemporary malaise and a betrayal of Irish romance.,National Review,The Banshees of Inisherin,2022-12-28,"['Drama', 'Comedy']"
39,39,rotten,certified-fresh,81.0,Devotion -- despite that title -- does not offer [Top Gun] Maverick’s patriotic uplift. It’s stuck between uncovering Brown’s victimization and deflating American valor.,National Review,Devotion,2022-12-14,"['War', 'Drama', 'Action']"
40,40,rotten,rotten,45.0,The problem is Mendes’s inherent shallowness -- he’s the British Mike Nichols.,National Review,Empire of Light,2022-12-13,"['Drama', 'Romance']"
41,41,rotten,certified-fresh,96.0,EO shows us that film culture is going through a jaded second childhood.,National Review,EO,2022-12-06,['Drama']
42,42,rotten,certified-fresh,90.0,He’s memorialized as an artist-activist and significant only for that. The doc is angled toward how Oprah wants us to see Poitier and herself.,National Review,Sidney,2022-11-23,['Documentary']
43,43,rotten,certified-fresh,88.0,"What a freakishly long, humorless, and bizarre movie. ",National Review,She Said,2022-11-19,"['Drama', 'History']"
44,44,rotten,certified-fresh,92.0,"The Fabelmans seems to hedge its dramatic risks, as if muting the heartache and thousand natural shocks that marriage and adulthood are heir to, then trading that guilty consciousness for facile teasing about Spielberg’s career and professional legend. ",National Review,The Fabelmans,2022-11-17,['Drama']
45,45,rotten,certified-fresh,83.0,Has any other social group ever had its history diminished to comic-book trivia and then encouraged to take that insult as a compliment?,National Review,Black Panther: Wakanda Forever,2022-11-11,"['Action', 'Adventure', 'Science Fiction']"
46,46,rotten,certified-fresh,90.0,"When Cate Blanchett, the phoniest actress since Meryl Steep, teams up with Field in his latest film, Tár, the result is a histrionic wingding.",National Review,Tár,2022-11-10,"['Music', 'Drama']"
47,47,fresh,rotten,46.0,Raymond & Ray restores the adventure of self-revelation that movies have forsaken for politicized virtue-signaling. ,National Review,Raymond & Ray,2022-11-04,"['Drama', 'Comedy']"
48,48,fresh,rotten,33.0,Emmanuelle Bercot dramatizes the Kubler-Ross five stages of grief in the emotionally full drama Peaceful.,National Review,Peaceful,2022-11-02,[]
49,49,rotten,certified-fresh,75.0,"This is poisoned nostalgia, Gray’s semi-autobiographical apology tour, part of liberal Hollywood’s progressive project that would have Americans remake themselves by condemning their past.",National Review,Armageddon Time,2022-10-28,['Drama']
50,50,rotten,fresh,72.0,"Östlund bungles the political, spiritual, and moral lessons of such classics about chaos as Luis Buñuel’s Exterminating Angel, Antonioni’s L’Avventura, and Godard’s Weekend.",National Review,Triangle of Sadness,2022-10-26,"['Drama', 'Comedy']"
51,51,rotten,rotten,38.0,We now know so much about the behind-the-scenes content-making and celebrity that Black Adam’s attempt to exploit the political moment and audience taste is insultingly obvious.,National Review,Black Adam,2022-10-21,"['Action', 'Adventure', 'Science Fiction']"
52,52,fresh,fresh,67.0,"Make no mistake, McAleer is polemical, but My Son Hunter doesn’t condemn Hunter Biden so much as understand him and the nature of his offense -- thus demonstrating the ultimate form of journalistic scruples.",National Review,My Son Hunter,2022-10-19,"['Crime', 'Drama', 'Comedy']"
53,53,fresh,fresh,100.0,"Personality Crisis is fascinating for how Johansen, as a songwriter, puts life and showbiz struggle in his own bridge-and-tunnel vernacular: “It all comes down to melody.” ",National Review,Personality Crisis: One Night Only,2022-10-14,"['Music', 'Documentary']"
54,54,rotten,rotten,32.0,"Despite Russell’s being our cleverest satirist, Amsterdam succumbs to the worst ideas now afflicting our nation. Wonderfully humane as it is, Amsterdam can’t surmount the prevailing sense of failure.",National Review,Amsterdam,2022-10-10,"['Crime', 'Comedy', 'Thriller']"
55,55,rotten,rotten,42.0,"[Andrew Dominik] overinflates his subject as if he never met an actual person. Ignoring how Monroe calculated her career and contrived the unique acting style that mesmerized the world, he resorts to the visual equivalent of psychobabble.",National Review,Blonde,2022-10-06,['Drama']
56,56,rotten,certified-fresh,88.0,"Bros pretends to satirize Bobby’s fear of commitment, but the contempt Eichner showed to his on-the-street video victims has not been transformed into charm. ",National Review,Bros,2022-09-30,"['Comedy', 'Romance']"
57,57,rotten,rotten,38.0,Don’t Worry Darling is a shoppers’ paradise for filmgoers indifferent to current crises and clueless about bygone social standards.,National Review,Don't Worry Darling,2022-09-28,"['Mystery', 'Drama', 'Thriller', 'Science Fiction']"
58,58,rotten,certified-fresh,94.0,"Maybe Prince-Bythewood has tapped into something that the two lousy Wonder Woman movies missed, but whatever it is, it isn’t excitement. Her battle scenes are haphazard, with poor continuity. ",National Review,The Woman King,2022-09-23,"['Drama', 'Action', 'History']"
59,59,rotten,fresh,70.0,Too bad Miller traded his gift for modern fantasy for pseudo-historical fantasy. ,National Review,Three Thousand Years of Longing,2022-09-07,"['Drama', 'Adventure', 'Romance', 'Fantasy']"
60,60,fresh,certified-fresh,76.0,Ozon pays tribute to how Fassbinder fearlessly risked film-culture esteem. Watching Peter von Kant is an entirely new experience.,National Review,Peter von Kant,2022-09-02,"['Drama', 'Romance']"
61,61,fresh,certified-fresh,83.0,"The movie is literally ugly, yet not entirely dismissible. It is saved by Kline’s cruel, funny alertness to something that’s gone wrong in American society among those dissatisfied by pursuit of the dream.",National Review,Funny Pages,2022-08-31,['Comedy']
62,62,fresh,fresh,87.0,The examination of the moral cost of Diego’s personal and political choices makes La guerre est finie a truly great movie.,National Review,La Guerre Est Finie,2022-08-26,['Drama']
63,63,fresh,rotten,49.0,"Viewing pornography as “a poke in the eye with a sharp stick,” Dunham takes issue with disingenuous junk like Euphoria that promotes degradation. ",National Review,Sharp Stick,2022-08-18,['Comedy']
64,64,fresh,certified-fresh,89.0,It’s a vintage Disney fairy tale made real. That’s when you know that Vignal has interpreted the dream roots of contemporary anxiousness -- lost innocence and wonder.,National Review,"My Donkey, My Lover & I",2022-07-27,"['Comedy', 'Adventure', 'Romance']"
65,65,rotten,certified-fresh,83.0,Nope’s junk pile of references combines movie and TV lore to no particular effect.,National Review,Nope,2022-07-22,"['Mystery', 'Horror', 'Science Fiction']"
66,66,fresh,fresh,100.0,"Religion stays with Bellocchio, as does imagination and ingenuity, which makes Marx Can Wait an extraordinary document of the moral evolution of an artist and his family.",National Review,Marx Can Wait,2022-07-15,['Documentary']
67,67,rotten,fresh,80.0,Diop needs more than shallow social impressions to enlist us in her cynicism.,National Review,We,2022-07-13,"['War', 'Drama']"
68,68,fresh,fresh,68.0,"Never mundane, [Michael Bay] expands on the lamest of all action genres, the bank heist, to find the form’s sensual, kinetic potential. Everyday dazzle.",National Review,Ambulance,2022-07-01,"['Action', 'Thriller']"
69,69,rotten,certified-fresh,77.0,"This shameless cultural jumble might make some kind of crazy sense for anyone who still thinks Presley the figurehead of pop vulgarity. That position has many successors, and Luhrmann is one of them.",National Review,Elvis,2022-06-24,"['Music', 'Drama', 'History']"
70,70,fresh,fresh,100.0,"The result, which uses assorted data as proof of Clift’s legacy, is more than the usual series of starstruck talking-head reminiscences.",National Review,Making Montgomery Clift,2022-06-22,['Documentary']
71,71,fresh,fresh,100.0,"Costa-Gavras and screenwriter Jorge Semprún’s approach doesn’t allow Kafkaesque sentiment, so the film stays tough and brilliant.",National Review,The Confession,2022-06-17,['Documentary']
72,72,rotten,certified-fresh,74.0,There’s nothing new in Lightyear. It is the latest Hollywood mind control.,National Review,Lightyear,2022-06-17,"['Adventure', 'Science Fiction', 'Animation', 'Action', 'Family']"
73,73,fresh,certified-fresh,93.0,"Giannoli uses art against dishonest journalism, the main weapon in today’s politicized class war. No documentary could be more bracing. That makes Lost Illusions the best newspaper movie since Citizen Kane.",National Review,Lost Illusions,2022-06-10,"['Drama', 'History', 'Romance']"
74,74,rotten,,,Filmmakers who buy into the Pakula legend don’t dread today’s obvious political chicanery but more likely distract from it with paranoid political correctness.,National Review,Alan Pakula: Going for Truth,2022-06-07,['Documentary']
75,75,fresh,certified-fresh,93.0,"Seeing all that through Davies’s signature tableaux makes Benediction the fullest, richest movie experience in years.",National Review,Benediction,2022-06-04,"['War', 'Drama', 'History']"
76,76,fresh,certified-fresh,96.0,"It illustrates Cruise's showmanly sense that maybe Americans desperately want to believe in themselves again. While the latest James Bond movies fail at heroism, Cruise's action films present a credible sense of valor",National Review,Top Gun: Maverick,2022-05-27,"['Drama', 'Action']"
77,77,fresh,fresh,81.0,"If asked to name the greatest gay film ever made, I’d say, with no hesitation, The Long Day Closes written and directed by British auteur Terence Davies.",Out Magazine,The Long Day Closes,2022-05-25,['Drama']
78,78,rotten,fresh,69.0,"Despite its hallucinatory finale, Men is not really an examination of spousal guilt or women’s fearful psychology. Plus, it’s too absurd to substantiate the media’s fascination with “toxic masculinity.”",National Review,Men,2022-05-20,"['Horror', 'Thriller', 'Fantasy']"
79,79,fresh,fresh,100.0,"The self-motivated perseverance -- and artistry and creativity -- preserved in these images is stunning.
",National Review,How They Got Over,2022-05-18,[]
80,80,fresh,fresh,100.0,This doc looks into Hollywood’s multicultural liberalism before the industry became obsessed with virtue-signaling and limited its enterprise.,National Review,Fiddler's Journey to the Big Screen,2022-05-14,['Documentary']
81,81,rotten,fresh,74.0,Doctor Strange in the Multiverse of Madness is too jumbled and overanxious for coherent amusement. Hard to believe that Marvel is still churning out this garbage so long after Man of Steel rooted its characters to humane instinct throughout time. ,National Review,Doctor Strange in the Multiverse of Madness,2022-05-06,"['Action', 'Adventure', 'Fantasy']"
82,82,fresh,certified-fresh,99.0,"As with Nitram and Father Stu, Hamaguchi’s cast joins this year’s extraordinary exhibition of vivid, revealing characterizations. This is real culture, not fake culture. Hamaguchi discovers the human touch.",National Review,Wheel of Fortune and Fantasy,2022-04-29,"['Drama', 'Romance']"
83,83,fresh,fresh,63.0,It’s a revelatory example of how post-Sixties Hollywood liberalism evolved.,National Review,The Liberation of L.B. Jones,2022-04-27,['Drama']
84,84,fresh,certified-fresh,89.0,"The Northman isn’t exactly a triumph, but with its many knockout moments, it represents a big step forward for the youngish director Robert Eggers, who for the first time has a big budget to work with. ",National Review,The Northman,2022-04-26,"['Action', 'Adventure', 'Fantasy']"
85,85,rotten,certified-fresh,87.0,"The Unbearable Weight of Massive Talent is a collision of generic formula, celebrity gossip, and the amnesia that results from popular culture’s decline. ",National Review,The Unbearable Weight of Massive Talent,2022-04-23,"['Crime', 'Comedy', 'Action']"
86,86,fresh,rotten,42.0,"Instead of bucking for prizes, Father Stu earns serious attention for being the most emotionally satisfying American movie in years. Its stand-out qualities expose how secular and unsatisfying contemporary film culture has recently become.",National Review,Father Stu,2022-04-21,['Drama']
87,87,fresh,certified-fresh,90.0,Weerasethakul’s majestic spectacle moves us an artistic distance away from junk culture.,National Review,Memoria,2022-04-16,['Drama']
88,88,fresh,certified-fresh,93.0,"The film’s look at human failure and fate is so plain and honest, it gives our shock and sympathy Shakespearean dimension. Kurzel redirects social disaster to command our focus on individual crisis.",National Review,Nitram,2022-04-09,"['Mystery', 'Drama', 'Crime', 'Thriller']"
89,89,rotten,fresh,68.0,"Chastain and Garfield are canny actors, but these characterizations veer between pathos and ridicule. Each might as well be wearing outsize masks to make Brechtian farce of Christianity as greedy, materialistic, and sexually perverse.",National Review,The Eyes of Tammy Faye,2022-04-04,"['Drama', 'History']"
90,90,rotten,certified-fresh,92.0,It fits right in with the new anti-art orthodoxy. It’s as if Coen -- and how many others? -- were afraid to truly touch our imagination.,National Review,The Tragedy of Macbeth,2022-03-26,"['War', 'Drama']"
91,91,rotten,certified-fresh,98.0,"It takes us further away from the necessary realism of documentaries that present fact, what Dziga Vertov called “life caught unaware.” Flee epitomizes how our information stream suffers from the combination of fantasy and propaganda.",National Review,Flee,2022-03-19,[]
92,92,fresh,certified-fresh,97.0,"Once again, a European filmmaker shows Americans how it should be done.",National Review,Great Freedom,2022-03-11,"['Drama', 'Romance']"
93,93,rotten,certified-fresh,90.0,Irish-Ethiopian actress Negga crafts the year’s most original characterization.... Negga’s genuine emotion transcends Passing and its almost total inauthenticity. ,National Review,Passing,2022-03-05,['Drama']
94,94,rotten,certified-fresh,85.0,"Coming exactly 100 years after F. W. Murnau’s still-disturbing Nosferatu, The Batman doesn’t earn being called artistic decadence. Its depiction of social horror isn’t fully imagined; it never gets to the core of spiritual repulsion that Murnau touched",National Review,The Batman,2022-03-05,"['Crime', 'Thriller', 'Mystery']"
95,95,rotten,certified-fresh,85.0,"Wright aims to impress, but his flamboyance and foundering romanticism miss the mark.",National Review,Cyrano,2022-02-26,"['Drama', 'Romance']"
96,96,fresh,rotten,44.0,"Here, Jeunet’s bright colors and prankish manipulation of space makes a suburban home and its lookalike environs an appropriate carnival atmosphere. Big Bug turns a spiritual and political pandemic into a three-dimensional funhouse mirror.",National Review,BigBug,2022-02-24,"['Comedy', 'Science Fiction']"
97,97,rotten,fresh,68.0,"The West Wing TV hack Aaron Sorkin, who wrote and directed the film, scuttles Kidman’s insight into Ball’s intelligence and competitiveness through his usual political posturing.",National Review,Being the Ricardos,2022-02-22,"['Drama', 'History']"
98,98,fresh,rotten,50.0,"It’s a feel-good movie about American camaraderie going up against injustice and abusive, overreacting tyranny.",National Review,Convoy,2022-02-17,"['Comedy', 'Action']"
99,99,rotten,certified-fresh,90.0,"King Richard creates a cliché, not a character.",National Review,King Richard,2022-02-12,"['Drama', 'History']"
100,100,rotten,certified-fresh,96.0,"Smug Julie is no Everygirl like Diane Keaton’s Annie Hall; she’s a standard-bearer, running an emotional gamut without charm.",National Review,The Worst Person in the World,2022-02-12,"['Drama', 'Comedy', 'Romance']"
101,101,rotten,rotten,41.0,"It all feels exhausted because it is false. Instead of another routine foray into casual adultery as a metric of modern morality, this should have been a scabrous satire on cinema’s decline and hypocrisy’s ascendance.",National Review,Rifkin's Festival,2022-02-04,"['Comedy', 'Romance']"
102,102,fresh,certified-fresh,98.0,The doc’s perspective honors Poly Styrene by placing her within a cultural lineage.,National Review,Poly Styrene: I Am a Cliché,2022-02-04,"['Music', 'Documentary']"
103,103,fresh,certified-fresh,97.0,Filmmaker Céline Sciamma unexpectedly recaptures Spielberg's once-amazing relation to childhood wonder and pure emotion.,National Review,Petite Maman,2022-01-26,"['Drama', 'Fantasy', 'Family']"
104,104,rotten,certified-fresh,88.0,The Harder They Fall confirms there's no honor in performing garbage with relish.,National Review,The Harder They Fall,2022-01-22,['Western']
105,105,rotten,certified-fresh,96.0,Parallel Mothers is Almodóvar's most pompous and unconvincingly political film.,National Review,Parallel Mothers,2022-01-20,['Drama']
106,106,fresh,certified-fresh,91.0,"This is easily the American eccentric's best film because his usual indie-movie flaws - obscure themes, cynical perspective, and technical showing-off - are mitigated by a rare, relatable narrative.",National Review,Licorice Pizza,2022-01-14,"['Drama', 'Comedy']"
107,107,rotten,rotten,55.0,The film's negativity indicts McKay and insults his audience.,National Review,Don't Look Up,2022-01-13,"['Drama', 'Comedy', 'Science Fiction']"
108,108,fresh,fresh,66.0,No other 2021 movie feels so eerily contemporary. France is a work of head-spinning mastery.,National Review,France,2022-01-06,"['Drama', 'Comedy']"
109,109,rotten,certified-fresh,94.0,Campion's incongruous plot twists can pass for profundity in an era ignorant of both American history and film history.,National Review,The Power of the Dog,2022-01-04,"['Drama', 'Western']"
110,110,fresh,certified-fresh,90.0,"Red Rocket would seem dehumanizing and despicable if not for Rex's three-dimensional portrait of Mikey's outlawry; flaunting head-banger's stupidity, misused charm, and misguided talents to full effect.",National Review,Red Rocket,2021-12-29,['Drama']
111,111,rotten,certified-fresh,97.0,I'm reluctant to hand Hamaguchi Chekhovian laurels because his measured style feels like Chekhov when done poorly. Drive My Car is the opposite of lively.,National Review,Drive My Car,2021-12-27,['Drama']
112,112,rotten,certified-fresh,94.0,Gyllenhaal is one of those close-minded Hollywood liberals who confuse self-pity with political enmity.,National Review,The Lost Daughter,2021-12-18,['Drama']
113,113,rotten,certified-fresh,92.0,"Spielberg shrinks the spiritual aspiration that once made his popular art transcendent. First time out, West Side Story functioned as tragedy and cultural triumph. Second time, it's woke farce.",National Review,West Side Story,2021-12-11,"['Crime', 'Drama', 'Romance']"
114,114,fresh,certified-fresh,90.0,"Jude's eye-popping essay captures the same insolence indicated by the unrivaled title of his previous film, I Do Not Care If We Go Down in History as Barbarians.",National Review,Bad Luck Banging or Loony Porn,2021-12-08,['Comedy']
115,115,rotten,certified-fresh,88.0,"Tick, tick...BOOM! uses the Jonathan Larson careerist cult to promote Broadway narcissism. It's the most obnoxious showbiz biopic since De-Lovely disgraced Cole Porter.",National Review,"Tick, Tick... Boom!",2021-12-04,"['Music', 'Drama']"
116,116,fresh,fresh,60.0,Asphalt Goddess dares to sensationalize rebellion but then reconciles it with our common humanity.,National Review,La Diosa del Asfalto,2021-12-02,['Drama']
117,117,fresh,certified-fresh,93.0,"It's a challenge to the dramatic conventions of TV crime shows and movie decadence. A Cop Movie responds to the social moment, examining contemporary issues without resorting to ""reform"" and ""defund"" clichés.",National Review,A Cop Movie,2021-11-29,"['Crime', 'Drama', 'Documentary']"
118,118,rotten,fresh,61.0,"Ultrahack Ridley Scott redefines banality in House of Gucci, a cornball reality drama.",National Review,House of Gucci,2021-11-29,"['Crime', 'Drama', 'History']"
119,119,rotten,certified-fresh,86.0,"Branagh's shallow regard of Irish history cheapens its art heritage, first by misappropriating Van Morrison, creator of the transcendent Astral Weeks among other Irish pop landmarks.",National Review,Belfast,2021-11-20,['Drama']
120,120,fresh,rotten,18.0,"No one else in Hollywood takes middle-aged women seriously, so Eleanor Coppola's calm, patience, and insight provide an unusual movie experience.",National Review,Love Is Love Is Love,2021-11-17,"['Drama', 'Thriller']"
121,121,rotten,fresh,83.0,"Trying to do the right Hollywood thing on Doctorow's story, Forman fell into the same traps that hobble contemporary films.",National Review,Ragtime,2021-11-12,"['Drama', 'History']"
122,122,rotten,certified-fresh,83.0,"Spencer itself is only a half-bad movie, promoting idolatry for a public that has lost respect for tradition and that has no sense of duty or sense of occasion.",National Review,Spencer,2021-11-10,['Drama']
123,123,rotten,certified-fresh,75.0,"The French Dispatch is a Millennial creation, set at the title publication's headquarters in the preciously named town Ennui sur blasé. That means it celebrates journalism as a class marker, American arrogance served à la Française.",National Review,The French Dispatch,2021-11-05,"['Drama', 'Comedy']"
124,124,rotten,certified-fresh,75.0,Everything about Wright's checklist filmmaking is unsatisfying. Trying to make both a pop-culture jamboree and an exposé of female exploitation means Last Night in Soho is diversity gone mad.,National Review,Last Night in Soho,2021-10-29,"['Mystery', 'Horror', 'Thriller']"
125,125,rotten,certified-fresh,83.0,"If you expect a sensual, kinetic, visually exciting movie version of Frank Herbert's renowned 1965 epic sci-fi novel, be prepared for a presentation of global malaise instead.",National Review,Dune,2021-10-22,"['Adventure', 'Science Fiction']"
126,126,rotten,certified-fresh,98.0,"Haynes gets so lost in his preening art gestures that there's no practical information about contracts or record-company business, just the useless glorification of pop-art myths.",National Review,The Velvet Underground,2021-10-15,"['Music', 'Documentary']"
127,127,rotten,certified-fresh,83.0,"To a generation that knows nothing about Ingmar Bergman, Hansen-Love's name-dropping caprice will mean even less.",National Review,Bergman Island,2021-10-13,"['Drama', 'Romance']"
128,128,rotten,certified-fresh,83.0,"No Time to Die proves that the decades-old James Bond franchise has reached a dead end. The turn toward sadism that began with Daniel Craig's angry, sinister interpretation of 007 has reached an unconscionable level of heartlessness.",National Review,No Time to Die,2021-10-08,"['Thriller', 'Adventure', 'Action']"
